খুলেনা	Don't open
চালক	Player
আদোও	Adoo
পাইপের	Pipes
তনুর	Tanur
ফেইস	Face
বাবাকে	Father
পরেছেন	Wearing
এমনিতেই	That's it.
বাড়ছে	Growing
গেলার	Geller
অার্বজনা	Worship
ভদ্রতাও	Politeness, too.
সন্ধ্যায়ও	Even in the evening.
পায়খানাটা	The toilet
কুমিল্লায়	In Comilla
ঝলকানিতে	In the flash
মহল	Mahal
শুয়োরের	Pigs
জারজ	Jarz
আইলে	Isle
ফুটানির	Futani
ফুচকায়	In a whisper
লালপোল	Redpolls
বুরা	Bura
অপর	Another
এইটায়	At this
কিউরোসিটি	Curiosity
ট্রেনে	On the train
আথবা	Athaba
ঝৈ	Jhai
হালিমে	Halim
এমুন	Emmon
ফটক	The gate
কাজটা	The work
সুখে	Happy
বুড়ি	Old lady
ফ্রেম	Frame
প্রতিবাদের	Protests
হটাৎ	Suddenly
মাষ্টার	Master
পরেকালে	Later
মনেহলো	I thought
পুলিশলিক	Policeleaks
চিরাচরিত	Traditional
চালাকির	Cleverness
নেছ	Take it
আমিতো	I am
পিওর	POV
জ্ঞানে	In knowledge
শর্তাবলির	Terms and Conditions
ডিগ্রিতে	In degrees
বারণ	Prohibition
শেষটুকু	The last one
পাঠানোর	Sending
নুরুও	Nuruo
লিডার	Leader
যাইহোক	However
প্রেগনেট	Pregnet
জন্তুর	Animals
মতই	Like
দোকানেরটাও	The shop too.
পেকেজটা	The package
আংকেল	Uncle
অনেকগুলো	Many
আকাটা	Akata
সনাতন	Traditional
বলেছ	You said
অমৃত	Nectar
পাইলো	Got it
পোকা	Insects
আনাড়ি	Anachronism
গায়ে	On
রিসোর্ট	Resorts
কুচ	Kuch
টাকলু	Taklu
সম্মানে	In honor
পেরেও	Perio
ব‍্যবসা	Business
মোখ	Mokh
মৌলহীন	Unsourced
পথেই	On the way
সৌদি	Saudi
রান্নাঘরে	In the kitchen
হিশাবে	As a
বড়বড়	Big
হাছিনা	Hasina
গুলিটা	The bullet
হাহা	Haha
গলিতেই	In the alley
পা	Feet
ট্রেন্ড	Trends
নীরস	Dull
টেবিলে	On the table
কাদায়	In the mud
এপিসোডেই	In the episode
দলীয়	Party
গন্ধে	In the smell
রুহানী	Rouhani
টাওয়ার	Tower
বিবি	Bibi
চাও	Want
বাঙালিকে	To the Bengalis
বোকাচোদার	Stupid
ঝাঁঝরা	Shrugs
বানাচ্ছি	I'm making
নুরুল	Nurul
রোডেই	On the road
অখন	
ভ্রমনস্থান	Place of travel
আপনা্র	Your
সেনা	Army
গেলেতো	If you go
ঘটে	Happens
কালামারি	Kalamari
য়ায	Go
আশতাকফিরুল্লাহ	Ashtakfirullah
সময়	Time
দণ্ডতো	Punishment
বাগবাটয়ারা	Bagbatiyas
খাইবো	I'll eat
বেবহারে	Unused
দন্যবাদ	Charity
ব্যারার	Barrer
আপননি	Your
বুজাযায়	Understandable
ইনবক্সে	Inbox
কাকারা	Crows
অদখ্য	Indefatigable
প্যাক	Pack
নৈ	Nai
চৌধরী	Chaudhry
বত্তার	Buttar
গলিতে	In the alley
অসাস্থ্যকর	Unhealthy
বেচে	Selling
উন্নয়নে	In development
পরিমানে	In quantity
কার্যকলাপ	Activity
খবারের	Khabar
পাবা	Puba
দ্বিমত	Disagree
সইছিলোনা	It wasn't.
বর্গগণকে	To the classes
দুনিয়া	The world
বিশ্সোকে	Bishsoke
ওয়াস	Wass
ধন্যবাত	Thank you
লড়াই	Fighting
ইন্ডোজ	Indos
চড়কগাছ	Sparrows
জিতুন	Win
দৃষ্টিভঙ্গি	Point of view
কামড়া	Bite
বিচারিক	Judicial
বলতেছিস	You say
খাবারগুলোর	The foods
বোস	Bose
ওয়েটার	Waiter
হইসেই	That's it.
লাগানো	Planted
জেহেতু	Since
ফোঁড়া	Boils
দেখেছিস	You see
অপরাদের	Others
ধারনভংগিতে	In the fallacy
উসিলা	Usila
আইনশৃঙ্খলা	Law and order
ভংগি	Vandalism
আজ	Today
বান্না	Banna
এয়ার	Air
ব্র্যাঞ্চে	Branche
আমেজের	The mood
যেতো	To go
চুলায়	In the oven
সাজেস্ট	Suggestion
একটাই	Only one
ঘরোয়া	Domestic
নেভানোর	Nevanor
থাকাটা	To be
হাতটা	The hand
পরহেজগার	Parhejgar
চাই…	Want...
এম্বাসি	Embassy
চপাৎ	Choppy
বিক্রির	Sales
টেকি	Teki
দিয়ে	With
বাড়িয়ে	Increased
টুরিস্টি	Tourism
ধমিও	Dhamio
শুয়েরের	Schuyer
খুব্বব্বব্বব	Verybbybbab
মডেল	Model
পালায়ন	Escape
সম্পূন্ন	Complete
মসকারি	Mascari
লোভনীয়	Tempting
অাসেন	Come on
রিপ্রেজেন্ট	Representative
ধারনাটুকু	The idea
গেং	Geng
১৮সালে	In 18th
ভেজিটেবল	Vegetables
ভাঁড়া	Broken
খাইছিলো	It was eaten
রাক্ষস	Monsters
ভাইটার	Brother
একিরকম	How about
বারাকাতিল্লাহ	Barakatillah
ভেবেছি	I thought
গেংয়ের	Geng's
মনুষ্যত্ব	Humanity
আমির	Amir
নামবার	Namebar
সিংহে	In the lion
তৎপর	Active
ওয়ালা	Walla
জীবনত	In life
ভল	Vol.
বিরাণী	Birani
ইলাহ	God
ইলেক্ট্রিসিটি	Electricity
বুঝেছি	I get it.
শীতকার	Winter
চারকে	Fourk
হোস	Hoss
রি‌স্কি	Re ski
ওভাব	That's the idea.
রাজনৈতিক	Political
কাক	Crow
করতেই	To do
পুশিশ	Pushish
অনুপযোগী	Inappropriate
প্রলোভন	Temptation
সদর	Headquarters
ইলেকট্রিকের	Electric
লাততী	Latti
ইউটিউবেই	On YouTube
থ্যাংক্স	Thanks.
বোম	Bomb
আইডির	Id
গা	Ga ga
হারামির	Haramir
লোক	People
সুয়ারের	Suar
রেস্তোরা	Restaurants
পচে	Rotting
সন্ত্রাসি	Terrorists
করেচি	Karchi
হাউমাউ	Howls
ধংস্ব	Vandalism
জঞ্জাল	Junk
উৎসাহিত	Encouraged
বেটে	Bette
অলওয়েজ	Always
কমলা	Orange
মাংসাশী	Carnivores
আলহামদুলিল্লাহ্‌	Alhamdulillah
তুলশি	Tulsi
ভোলার	Forget
বাটনের	Buttons
খানিক	A little bit
সুনব	Sunab
ইজিলি	Easyly
পারলায়	In Parlay
প্রিল্জ	Prelz
মোবাইলের	Mobile
দুষ্প্রাপ্য	Rare
নিজেই	Itself
খাওয়াতে	To feed
রেজেলার	Regency
বলতেতো	To say
পারমিশন	Permission
ফুডকোর্ট	Foodcourt
ঘৃণা	Hate
ঘুরপার	Turning around
কাচি	Scissors
কয়টিতে	In how many
বাঁচিয়েছে	Saved
এগো	Move on
নুডুলসের	Noodles
বিছ্রি	
এরাও	They are also
নিখুঁত	It's perfect
আসিয়েন	Asean
দুচোখে	In both eyes
ঘুরেছি	I've visited
সমুদ্রে	At sea
কাপালি	Kapali
একের	One
বাচ্চারা	Children
প্রশ্নের	Question
ধান্ধাবাজ	The hypocrite
ঢেলে	Pouring
র‍্যাগিং	Ragging
গাংগলী	Ganguly
আওমীলীগ	Awami League
মামুরা	Mamura
প্রথমদিকের	Early
হাসের	Hasser
মসলাটা	The spice
নিয়মাবলি	Rules
কটা	How many
দ্বীনি	Religion
নৌকা	Boat
একঘেয়ে	Monotonous
র‌েখেছ‌েন	Racked
প্রতিস্টান	Replacement
বানিজ্যিকভাবে	Commercially
সুজগ	Suzag
চায়তে	In tea
অন্য	Other
বরিশালের	Of Barisal
পৌঁছাবে	Will arrive
শব	Corpses
জারোজ	Jaroj
দেখভাল	Maintenance
দিছ	Given
দেক্গে	Dekke
কামরাই	Kamarai
করোন	Corona
ভেংে	Venge
বিপ্লব	Revolution
গাবিন	Gabin
ঘোর	Ghoul
খাচ্ছ	Eating
একরাতে	One night.
কাদিবে	Kadibe
বলগ	Bolg
ওপরের	Above
শ্লোগান	Slogans
ব্যাংকিং	Banking
টেবিলের	Table
ঘুরাচ্ছে	Turning around
সচতন	Sachetan
সবকটাই	It's all
একমাএ	A single mother
হাড়িয়ে	In the bones
সুবহানাআল্লাহ	Subhana Allah
হয়সে	Maybe
দিয়েও	With
মূলমন্ত্র	Motto
আশরাপকে	Ashrapke
খুরের	Hooves
হাসানের	Hassan's
বার্ছিটি	Burchetty
সবম্বলিত	All contained
বড়া	Elders
ক্যারিয়ের	Carrier
আমাগোতো	Amagoto
মস্ত	Great
রানা	Rana
এতই	That's all.
রুহানি	Rouhani
নিগ্রোদের	The Negroes
পারচে	Perche
বাঁচবেনা	It won't survive.
ঝু‌ড়ির	The hut
কৃর্তপক্ষের	The creditors
টুকু	That's
সিস্টেম	System
ব্যবস্থাটাও	The system as well.
মূর্খামির	Stupid
দোনের	Don't
কেয়ার	Care
ন্নি	Ninny
সরিয়ে	Move
রাস্তাঘাট	Roads
আগের	Last
শুক্রাবাদ	Shukrabad
মাডার	Mader
বোলদার	Bolder
ক্ষতিগ্রস্তদের	Victims
দিবেনা	Don't give
রাইট	Wright
ভিডিওই	Video
কোত্থেকে	Where from
শান্তিতে	In peace
গিয়েছিলাম	I went
বামহাতে	Left-handed
কাছেকি	What's close?
আসামি	Accused
সব্জির	Vegetables
বেঞ্চ	Bench
হরে	Hare
ট্রান্জিট	Transit
বুকা	Buka
প্যাকেজিং	Packaging
সব্বার	Saber
ফাইনালি	Finally
চায়ের	Tea
স্থান	Space
এইটুকুন	That's it.
খায়ও	Eat
সেখ	Sekh
ব্রাহ্মণ	Brahmins
আর্তনাত	Screams
ইন্দিয়ান	Indian
বাইন্ধা	Baindha
তাসকিন	Taskin
প্রয়াশ	Efforts
সেক্সুয়াল	Sexual
মারমেইড	Mermaid
বছর	Years
ব্লু	Blue
সামনের	Coming
প্লাস্টিকের	Plastic
ইউইউ	UU
বিতরে	Bitare
সেরা	The best
ইডিয়েট	Idiot
পৃথক	Different
বিক্রী	Sales
পাঠই	Text
লেকটা	The lake
তমাল	Tamal
কুমিল্লার	Comilla
কাঁপুনির	Shaking
বেয়াদবি	Nonsense
বিছানা	Bed
করাইয়ে	Karaye
হইচে	It's
অত্যাচারীদের	The oppressors
একটিকে	One
তারমানে	That means
ম্যাপ	Map
অর্ডার	Order
জাতীর	The nation
ডিল	Deal
লটারী	Lottery
হিলোল	Hilol
চায়ছে	Wants
চিংড়িটা	The shrimp
ঘিয়ে	Ghee
চাপের	Pressure
কারিগর	Artisans
অভিনেতা	Actor
আইভি	IV
বোলে	Bole
ব্রাশফায়ার	Brushfire
উচ্চ	High
ধরলাম	I caught
মিশর	Egypt
ধরতেছিল	It was caught
ঈমানদারী	Faith
বেলচাদিয়া	Belchadia
আকাট	Akat
যেংান	Yingan
কর‌তে	To do
অনুষ্ঠানটা	The show
দফায়	In phase
বৈচিত্রময়	Diverse
কষ্টদায়ক	Painful
লাগেছে	It's been
বিশ	Twenty
সজনের	Sajon
কয়দিন	How many days
প্রসারের	Extension
বিশ্ববিদ্যালয়ে	At university
বারটা	The bar
২০২১	2021
ভলো	Volo
রচনা	Composition
বাচতে	To survive
জীববৈচিত্র	Biodiversity
কর্ত	Kart
গোয়ার	Goa
সংবাদকর্মী	Journalists
দেখচি	See
লবার	Lobar
শিখার	Learning
মানালি	Manali
ডাঃ	Dr.
সিক	Sic
নাচা	Dancing
বর্ণনা	Description
অন্ডকোষ	Testicles
আপ	Up
দস্তরখানা	Dastarkhana
যুদ্ধের	War
সবাইকেই	Everyone.
গল্পটা	The story
ফটোগ্রাফির	Photography
ওনি	It's
দীঘিনালাতে	In the dighinala
বলতেও	To say
ফাসানোর	Fasano
খান	Khan
জাউ	Jau
বুনার	Knitting
গ্লোরিফাই	Glorife
বেরাই	Berai
ধান্ধাবাজি	Hoaxes
বলচ	Bolch
অর্ধাহারে	Half-hearted
গালে	On the cheek
সর্বত্রই	Everywhere.
দিলো	Given
হওয়াই	To be
রিয়েলিটি	Reality
মুস্তাফিজ	Mustafizur
ছেংরাবান্ধা	Chengrabandha
পেশাদার	Professional
তোরা	You
মোহিত	Mohit
দিনটা	The day
রাব্বানি	Rabbani
কিছুক্ষন	For a while
মাশাআল্লাহ	Mashallah
বিবিচি	BBCC
আল্লকা	Alka
সৌজন্যে	Courtesy
প্রগতিশীল	Progressive
সারচ	Sarch
বাড়ীর	The house
ফ‌টোগ্র‌ফি	F Togr fee
এন্টারটেনিং	Entering
হিংসুটে	In a violent suit
কুথায়	Where
ইরিটেটিং	Irriting
তদ‌ের	That's
শুয়োরছানা	Pigs
মুরগীইতো	The chicken
ছোয়ার	Choir
ষরিশা	Shreisha
মুজিব	Mujib
প্রামান	Proof
স্বরূপ	Example
করেছিস	You did
দেশটাকে	To the country
মিয়াঁর	Mian's
নোরা	Nora
দিলেন	Gave
নেপালের	Nepal
আঢ্যকে	Adhyake
হউক	Be it
দাউদকান্দি	Daudkandi
সান্তিতে	In Santi
পূর্বপুরুষের	Ancestors
অাপনারও	Yours too.
সাসক্রাইব	Sascrib
লইবেন	Take it
হইছে	It's
সাঃ	Saa
জিবনেও	Even in life
ফেইসবুক	Facebook
পারবেন্না	Can't
ওদের	Their
যাএীরা	Ja's
কর্মকাণ্ড	Activities
ফোর্থ	Forth
দেখাচ্ছি	Showing
তিনজনকে	Three
১৫০০	1500
চালিয়েছে	Carried
কার্ল	Karl
ভায়া	Via
ডুবিয়ে	Sinking
কোনটাকেই	Which one
নেকাবে	Nekabe
বাংলাদেশেও	Also in Bangladesh.
ব‌উ	B U
দূর	Remote
কচি	Raw
ঘ্রান	Smell
হাদীস	Hadith
শিশু	Child
দিওনা	Don't give
প্রতিভাটাকে	Talent
নবাবপুরের	Nawabpur
দেবেনা	Don't give
উফফফফ	Oops
প্রএ	Praa
আপাত	Apparently
সরিষা	Mustard
একব্যাক্তির	One person
খানিকির	A bit
পাটপারি	Patpari
গলাকাটা	Throat-slashing
বাসমতী	Basmati
বোর্ডটা	The board
ভয়েসের	Voice
আসালামুআলাইকুম	Asalamualaikum
জংঘা	Jungha
ফ্যামেলি	Family
পড়তেও	Also to read
আগে	Before
জরিমনা	Survey
কার্বোহাইডেট	Carbohydrate
শাফিন	Shafin
সময়এ্যম্বাসীতে	At the Embassy of Time
প্রজন্মের	Generations
ড়্রাইবটা	The draib
অনুৎসাহিত	Discouraged
পুড়িয়ে	Burned
টোটাল	Total
মাতে	Matte
ইনিডিয়ান	Inidian
সিনেনা	Sinena
জবেহকরা	The Jobehs
সাংঘাতিক	Terrible
সমালোচনার	Criticism
জিবনটা	The life
স্বাস্থ	Health
বান্দার	The slave
খেন	Khen
পাকিস্তানের	Pakistan
যাবার	To go
সৃস্টিকরতা	Creativity
কইলে	If so?
বেরাতে	To get out
সইতেও	Tolerable
লিঙ্গ	Gender
রা	Ra
পরিবেশনটা	The serving
শিয়ারা	Shias
শপথ	Oath
প্রশাসন	Administration
নারাজ	Reluctant
নামাজই	Prayer
পারিনি	I couldn't.
খাঁচায়	In the cage
ভগবান	Thank goodness
মাতলে	Matle
ঘোরার	Rotating
লজ	Lodge
হোটেলকে	To the hotel.
যাত্রা	Journey
বিক্কিরি	Bickery
কামড়ে	Biting
শাবাস	Shabas
হাদিয়াটা	Hadiyata
কমেই	Hardly
আন্টি	Aunty
আইসে	Ice
সফটওয়্যার	Software
খাচ্ছো	Eating
মিল	Similarities
কাপেল	Capel
অযথা	Unnecessarily
চেংরাবান্দা	Chengrabanda
বছরে	Year
ঘুরাও	Turn around
মাসা	Massa
কালারের	Color
ফু	Foo
সুইজারল্যান্ড	Switzerland
সদস্যকে	Member
নিন্দনীয়	Reprehensible
প্রতিভাহীনরা	The geniusless
দাদারা	Grandfathers
রাইস	Rice
শাওয়া	Shava
পোলাগুলা	Polagula
নাভানা	Navana
স্কোর	Score
তোমাকে	To you
ফুডি	Foodie
হাসরে	Laughs
তাতে	In
৬৪	- 64
কয়েকজন	A few
চাবাইছি	I chewed
শুওর	Pigs
এটায়	In this
ভর্তা	Bharta
জামিনের	Bail
খিচুড়ি	Khichdi
দিতো	Ditto
কাম্য	Desirable
ছেলেটার	The boy
হিজরাদের	Hijras
কাটলট	Cutlot
চিকেনটা	The chicken
ইচ্ছায়	At will
সংকলিতডিপজল	Compiled Dipjal
আন্ডাররেটেট	Underrated
ইসরায়েল	Israel
জানতোনা	I didn't know.
বিপদের	Danger
ইনশাল্লাই	Inshallah
জীবনো	Life
ক্ষ্যাত	Decay
যেই	That
সাই	Sai
আটকা	Stuck
শব্দেইতো	In words
যৌ‌ক্তিক	Logical
যদি	If
চরিত্রেরও	The characters too
ডাবের	Dabs
টোকা	Toka
উস্কানিমূলক	Provocative
কাশ্মির	Kashmir
প্রদত্ত	Provided
ভ্রমণের	Travel
ভাগ্যের	Fate
কুড়াল	Axe
টেস্টই	Tests.
মদপান	Drinking
ক্যাপশনে	In the caption
হতাভাগ্য	Fate
পজেটিভলি	Positively
শুধো	Correct
চাষাদের	Farmers
কমই	Hardly
খাইতেছি	I'm eating
সেশ	Sessh
বড়	Large
দেহজুড়ে	Across the body
প্রায়ই	Often
মামাদের	Mama's
আল্লা	Allah
বাটপাড়ি	Buttpadi
বগুড়া	Bogra
খরসননি	Kharsanni
চল্লিশ	Forty
চেখেছেন	Tried
দমনের	Suppression
ইসলাম	Islam
সুড়ুৎ	Tunnel
মূল্যের	Of value
অথর্ব	Atharva
বন্ধু	Friend
ভাইয়্	Brother
পাকিস্তানকে	To Pakistan
নাসার	NASA
খাবাবের	Khababar
মুখোশধারী	Masked
নক	Knock
যশোর	Jessore
ফালাইলো	Falaello
অসভ্য	Uncivil
সাতমাথা	Seven heads
মিথ্যুক	False
গোয়ালের	Goyal
হসপিটাল	Hospital
কাট	Cut
সুসাশন	Susceptibility
সবোর্চ্চ	Above all,
শাংরি	Shangri
ফেললে	If
আন্টিকে	To aunty
হাগতে	Hagte
পা‌রেনা	Feet don't
নাও	Not
শধু	Shadhu
ঘণ্টা	Hour
এমহিলা	Emhilla
বস্নত্ত	Spring
দাঁড়াও	Wait
পুটকী	Putkey
রাজশাহী‌তে	In Rajshahi
স্টাফ	Staff
হারাই	Lost
আহকাম	Ahkam
কুমিরগুলা	Crocodiles
ক্ষেত্রবিশেষে	In the field
সালাদেরকে	Salad
চাপাইনবয়াবগঞ্জ	Chapainboyabganj
রিফাত	Rifat
বাশের	Basher
দোকানগুলা	Shops
টাকাপয়সা	Money
শর্তক	Conditional
জানা	Know
প্রোসেস	Process
প্রানবন্ততা	Vitality
কিনে	Buy
যাত্রাবাড়ীতে	At Jatrabari
নিরপেক্ষ	Neutral
মামদোবাজি	Mamdobaji
ধরকার	Dharkar
চর্বিযুক্ত	Fatty
ভালোবাসত	Loved
রাজস্থানের	From Rajasthan
গোছালো	Messy
অনাবৃষ্টি	Non-rain
খাওয়াইলে	If you feed
হাতিগুলো	Elephants
পুজোতে	In worship
হাসিটা	The smile
সবজি	Vegetables
অন্যদের	Others
পরিদর্শনের	Inspection
হুগামারা	Hugamara
আওয়ামিলীগ	Awami League
কুত্তালীগ	League
নিরপেক্ষতা	Neutrality
এিপুরায়	In Epura
ভণিতা	Vanita
পাল্টানো	Changed
ইহুদীরা	The Jews
মাল্টিপল	Multiple
খানারে	In the khana
ছু	Chu
তাবাকে	Tabake
উহ্	Uh.
মিউজিকের	Music
ঝট	Quick
প্রতিভা	Talent
রখম	Rakham
নেশার	Addiction
টিকেনা	It doesn't last
অমিতের	Amit's
সূর্যের	The Sun
ছাকিব	Chakib
বাংয়ালি	Bangali
অফের	Off-the-roll
আসবে	It will come
অপচয়কারীকে	To the waster
সাহেবকে	To the Sahib.
ক্যাসিনও	Cassino, too.
পাগরছাগলের	The goat's goat
আস্তা	Asta
রাষ্ট্রপ্রধানদের	Heads of state
কুখ্যাত	Infamous
বোলছেন	Says
চোদনা	
কৈ	Say
মৃধার	Mridhar
মুরোদ	Murod
মসাইয়ের	Masair
শিখল	Learned
পুলে	In the pool
তারাও	They are also
টাংগাইলে	Tangail
নীচে	Below
থাম্বনেইল	Thumbnail
খুদা	Khuda
দুর্ভাগা	Unlucky
আরেকটা	Another
প্রজাতির	Species
আইনগত	Legal
ফ্রী	Free
লোকজনরে	People
ছলে	In disguise
গ্রেভি	Gravy
টাকায়	In money
খাবারগুলা	The food
আকাইম্মা	Akaimma
ডোনা	Donna
আহ্বান	Call
বেলাও	Bella too.
1না	- 1Na
ঝা‌লে	Jha Le
ভিমরতি	Vimrati
স্বপনকে	To The Dream
পাওয়া	Found
গোলাম	Golam
সভ	Sav
বিডি	BD
মাদারিপুর	Madaripur
ছেষ্টা	Chesta
কচুর	Kachor
হিউম্যানিটির	Humanity
বেদানার	Bednar
প্রদর্শনমূলক	Demonstrative
পড়সে	Read on
রুজা	Ruza
ইনডিয়া	India
নউসিন	Nausin
গোমুত্র	Cow urine
