असलामवेल्कम	AslamWelcome
पोपट	Pork
क्रवाओ	Get it done
चर्च	Church
हडल	Huddle
मुफखोरी	Freebies
खाश	Khash
गंभीर	deep
बनानाय	Make it
पत्थर	stone
इसना	This is
पाकी	
देसी	native
छोटा	little
शांति	peace
एड	ed
राब	treacle
कल्पना	imagination
उताकर	Utakar
चलक	Driver
डख्गी	Dakhgi
सैलरी	Salary
फाति	Fati
शिखर	apex
यययाय्ययय	Yayayyayya
सालो	Years
खुब	Very good
नुक्सान्दायक	Harmful
बेजजती	Indignity
फुस्सस्स	Whispers
अप्कू	Apku
पाड	Pad
हीरे	Diamond
वैया	Vaiya
वे	they
हहहाह	Hahahah
प्रणम	Salutations
बैइथ	Beth
हंसम	Hansam
जवाद	Jawad
थप्पद	Slap
माकन	Maken
दलले	Put in
टो	Tow
दातों	Teeth
व्हिस्की	whiskey
रेडी	Ready
समीर	breeze
बनाकर	By making
जामीन	Bail
तमन्ना	desire
दुनिया	world
अंदर	inside
अपसे	From you
कर्तव्य	duty
कांत	lovely
बना	compose
देखु	Let's see
एरी	Eri
नॉट	Not
पकड़ते	Catch
घुम	Walk around
अहम	vital
बालो	Balo
आइओ	IO
शोली	Sholi
पढ़ाई	reading
अल्लाहा	Allah
मिलो	Meet
चोरो	Thieves
मेनू	menu
जीवित	living
मुर	Mur
नालिया	Naliya
बॉल	Ball
सीओ	CO
चैन	Chain
हराम	unlawful
हव	Hava
चीज	thing
यीए	Yea
रखा	Placed
अवो	Avo
सोय	Soy
किउ	Why
सिगरेट	Cigarette
ताजा	fresh
ट्राह	Trah
हंसराज	Hansraj
जिससे	from whom
इत्ताना	It's
बेहेन	Behen
खुच	Something
आप्थो	Optho
राहुल	Rahul
जेटली	Jaitley
व्राय	Wray
तुउउ	Tuu
खोइश	Khoish
पे	on
ज्रूरी	Necessary
रेप्ली	Repley
आप्सी	Apsi
कोम्येडियन	Comedian
खुलता	Open
मेंहन	Mehan
केलोगो	Logo
र्ह्मत	
तारकी	Tarki
सातम्भ	Satambh
चुटियून	Chutiyun
करताय	Doing it
बढ़ाया	Enhanced
मंगलसेनाचा	Mars Army
फिलहल	At the moment
पहन	Wear
ट्यूब	tube
सबमे	All in all
पाकिस्तानियो	Pakistanis
बाजेन	Bajen
मोरालिटी	Morality
तकिये	Cushions
धन्यवाद	Thank you
आहुहुहु	Ahuhu
पाइर	Pier
गर	if used in poetry
शमा	candle
तुकडा	Piece
रोहितशार्मा	Rohit Sharma
नेकी	good
लिखाई	writing
लेफ्ट	left
पीने	Drinking
बिजिली	Bijili
जीसा	Jisa
कार्डेंगे	Cards
एसके	Sk
शिक्षा	teaching
मंगवाईगी	Will you order
डेखये	See
गुप्ता	A married woman who withdraws from her husband’s endearment
सेहत	health
भगोडे	Fugitives
मारताय	Killing
शाह	king
तुहाड़ी	Your
खुजलीवाले	Itchy
जावेगी	Will go
भोलो	Bholo
धुनयी	Dhunai
पिट	Pitt
परफेक्ट	Perfect
जुलम	Oppression
हम्मरे	Ours
केटा	Keta
होम	sacrifice
हिम्मतवाला	The courageous
क्ल	Clamps
धड़कन	palpitation
अन्याय	injustice
कपरा	Kapra
हाआआआ	Haaaaaa
रामजन	Ramadan
फोरेंज	Forrange
उस्को	Usko
उष्क्या	Heat
ओर्रर	Orrar
गन्दा	untidy
पापनिस	Papnis
ज्ञा	Knowledge
खुश	happy
बैग	Bag
हो	be
ज्ञाब	Known
मुक्य	Mukya
धनुष	bow
वाला	keeper
कुब	Kub
अत्याचार	outrage
तम	darkness
अहाना	Ahana
चौकआ	Square
बाजी	elder sister
अंग्रेजो	The British
करफिया	Karfia
क्मो	CMO
डिमांड	demand
अक्तर	Aktar
स्टोरीय	Story
गुमते	Missing
जमाना	to freeze
मिलना	to mingle
मिल	mill
बोला	Speak up
दीदी	elder sister
ताज़ा	fresh
हरमी	Harmi
जॉन	John
मायबे	Maybe
वालाइकुम	Valaikum
आधार	base
देदो	Give it
डेको	Deco
दुण्डे	Dund
आप्कोरेचार्ज	Your recharge
समस्या	problem
बेहद	boundless
सुकराना	Sukrana
क्रच	Crutch
आइटम	item
इनर	Inner
काड़े	Stick
मृत	dead
पगलपन्ति	Madness
दुर्घटना	accident
गणेह	Ganeh
ब्कवास	Nonsense
फैलने	Spreading
ज्स्को	JSCO
लॉ	law
लडके	Boys
फिनली	Finley
बजाता	Plays
माशा	A weight equal to 8 rattis
सकेंगे	Can be
रपी	Rp
माजे	My
आइक	Ike
डर्गप्रधान	Dargpradhan
दीखे	Look at it
उम	Um
बौत	Bat
मुजेह	Me
खाने	Eat
चाहिये	want
भक्ट	Bhat
लाग्न	Engaged
यूजना	Use
किदार	Kidar
आउ	span of life
अवि	the sun
होगाये	It will happen.
मेहनत	labour
औ	The eleventh vowel of the Devanagari syllabary
इन्हे	They
प्रभानसु	Prabhansu
परेशन	Trouble
जाए	Go
पध्ती	Method
सल्लुभाई	Sallubhai
काहटी	Where
जोड़	joint
बजेगे	Will be
सी	c
आता	coming
व्यावस्था	System
हिई	Hi,
रीच	Reach
हसना	laugh
समझने	Understand
ताभ	
पयेंगाए	Will you get it?
कौंसी	Which one?
पाधा	tutor
मुर्शीद	Murshid
चित्रा	piebald cow
घरेलु	Domestic
मोती	pearl
नामस्टी	Namasty
अट्टी	Hank or skein of thread
अकल	not in parts
कामया	Kamya
अमनातुल्लाह	Amanatullah,
पीके	Pk
ऑन	On
अच्छे	Good
मस्तरवा	Mastarva
नायफ	Naif
बहादुरी	bravery
देखओ	Look
चुक्कर	Chukkar
दौड़ते	Running
खूबसुर्त	Beautiful
विड	Vid
खुजलीवाल	Itching
माथ	forehead
दुस्मन	Enemies
क्रुन	Cróon
रो	weep
जग्गी	Jaggi
मडरचोड़	Madarchod
बाते	Things
डसबन्टल	Dussbangal
लगटे	Looks like
अस्सलामुअलिकुम	Assalamualikum
चीड़	Pine tree and its wood
वाका	Waka
प्राचीन	old
फाफदा	Fafda
हम्बेय	Hambe
जौबगा	Jobga
ढेके	Dheke
घुसा	Entered
सुत	son
बछो	Save
कनफ्सन	Confson
गर्माई	heat
मथुरा	Mathura
टॉप	Top
दामाद	Son in Law
सिरीला	Sirily
पैर	foot
कॉन्ग्रेसियो	Congress
खाओ	Eat
ख्र्ब	Poor
तौबा	Vow to do no more
नागरिक	civic
बी	a vocative lady
हू	Hu
जाड	Thick
शहर	city
जाकास	Jacques
मार्डे	Marde
तायीर	Tayyer
थांक्स	Thanks
वात	air
भुलने	Forgetting
आइयेना	Not a
किजिये	Do it
डिज़ास्टर	Disaster
ध्यान	attention
सूपर	Super
मस्त	drunk
चैये	Want it
लेती	Takes
उल्टा	inverse
झुग्गी	hut
अंडर	Under
सरमिंदा	Sarminda
ज्योगी	Jewel
मोने	Mone
मन्थ	Manth
दिल्ही	Delhi
टाटा	Tata
टेकु	Teku
रंजना	Ranjana
व्द्या	By
पूनम	Poonam
ऐनवायी	Ayvai
सबित	All
मेस	mess
बडे	Big
इंकार	Deny
नन्नु	Nannu
ऑयर	Oyer
बचों	Survivors
जित्ता	Win
सरुख	Sarukh
ऊ	The sixth vowel of the Devanagari syllabary
कपूर	camphor
अक्षित	undecayed
मारवासी	Marwasi
धानसू	Dhansu
भरत	skylark
वानखेडे	Wankhede
हरेगी	Will lose
सोनले	Sonle
पताओ	Find out
काहनी	Kahni
किट	kit
यशोदा	Yashoda
टमसे	Tamse
मुट	Mut
घीन्न	Disgusting
नजर	sight
त्रह	Thirteen
सुदरेगा	Will improve
कसम	oath
नैश	Nash
मीनाक्षी	Meenakshi
अडने	Adne
सल्ग	Salg
सपनो	Dreaming
पट्टी	bandage
चुडाप	Chudap
दुसरी	Second
जग	Jug
वैसी	Like that
क्ञा	Why
जाटी	Caste
लौडा	Lauda
विचार	thought
चौक	quadrangle
पूछता	Asks
क्रांतिकारी	revolutionary
इस्लो	Islo
रजनीकांत	Rajinikanth
लोलज़	Lolz
धीमान	Slow
नियत	destined
भाना	to be liked
फूँक	puff
पार्टी	party
दिखाओं	Show
आयन्गे	Ayenge
आदिकर	Adikar
बोहट	Too much
फ्रॉम	From
सभकी	All
एक	one
नवाज	Nawaz
इस्टमल	Istmal
जमीन	earth
अनीश	Anish
प्कोडे	Pkode
वाश	Wash
कदमों	Steps
चुस्की	Draught or mouthful of water or other liquid
शक्ति	power
ए	The eighth vowel of the Devanagari syllabary
एस्मे	Esme
लगाये	Put it
मिलजाओ	Meet
गिरके	Fall
जानकीभी	I know
एज	Edge
देखूँगा	I will see.
आखें	Eyes
रास्ते	Way
मौकमौका	Chance
ऊह	deliberation
च्लेगा	Will work
पराडे	Parade
निहीई	No,
मान	respect
पूरा	small village
नेक	good
दुआ	blessing
मसद	Masad
घूरती	Gazing
रखियो	Keep it
जस्वीरमंकु	Jashirmanku
आईन	law
रीलैक्स	Relax
परी	fairy
गालिया	Galia
आधा	half
बाज़ार	market
प्धाते	
सबर	Sabar
बोखला	Bokhala
करुगी	I will do it.
सिंतक	Sink
प्रकट	evident
गिन्ती	Counting
लेडी	lady
तुम्हारे	You
करीब	nearly
सवसिंद	Savsind
सुभ	Good morning
तादप	Tadap
शोने	Show
अग्यि	Fire
भिंडी	lady’s finger vegetable
जयागी	Jayagi
निकेलेगी	Will come out
मीओव	Meiov
मिलुगा	Will meet
निकलेंगे	Will come out
गार	Gar
साबिथ	Sabith
मौसुम	Mausum
भाईजी	Brother,
देखेंगे	See
घोटेगा	Ghotega
साक्षी	witness
परिवर्तन	change
छुपाना	to hide
ईश	lord
फीलिंग	Feeling
फाडू	Fadu
बरबरी	Barbary
उतारकर	Remove it
बड़ा	A fried cake made of grounded pulse and spice
फिरल्हा	Then
जागो	Wake
दिक्कत	trouble
विलेज	Village
धन्या	virtuous lady
ख्ता	Khata
न्या	N.C.
आरा	Saw tool for cutting wood
निकला	Derives
साप	out
पढेगा	Will read
मुम्मियाँ	Mummies
समर्पित	dedicated
आन्दोलन	movement
राजपथ	highway
गेरेबाउन	Gerebaun
सुन्नी	an orthodox Muslim
ईक	One
स्मझाये	Understand
भेजता	Sends
पुस्तीन	Pustin
बत्तख	duck
बजरंग	Having a strong and sturdy body
राजकुमारीरानी	The Princess
ईसाई	Christian
अहिखर	Ahikhar
सोल	The under-surface of the shoes
ओल्सून	Olsun
अवोगी	Avogi
सोचने	Think
उठता	rising
मुबार्कन	Mubarakan
काइको	Kaiko
कोह	mountain
पार	the other side
वदो	Vado
करुण	sad
यादें	Memories
व्हाइट	white
मेहंत	Hard work
कुट्टिया	Dog
गुजरात	Gujarat
पापड़	Thin crisp cake made of any pulse
कोलावेरी	Kolaveri
शैली	style
कप्डा	Cloth
फैन	Fan
हमसाब	Hamsaab
फेंचा	Fench
जोकर	joker
गुडु	Gudu
लगराहे	Looks like
महारत	practice
होपायेंगे	Will be able to
अनुष्का	Anushka
बीज़ज़ती	Seeds
अकिरत	Akirat
पुछते	Asks
मिल्नी	Milny
एस्पे	Espe
मुस्लमानो	Muslims
जोब	Job
नन्दलाल	Nandlal
बहुचर्चित	much talked of
थोफा	Thofa
दिलाओ	Give it
यूउ	Yuu
धर्म	duty
आसानी	ease
क्रेगे	Craig
लाई	parched rice
इस्तेमाल	use
टिम्	Tim.
बैचक्पैन	Bachappan
मुहम्मद	highly praiseworthy
दिग्विजय	conquest of the world
बचने	Avoid
आग्य	Fire
भूली	Forgot
डेरा	tent
साली	wife’s sister
गैया	a cow
हैरन	Haran
लुगा	Luga
सुधरने	Improving
आप्किदिल्ली	Your Delhi
यार्र	Dude,
हाल्फ	Half
सभा	assembly
सुवार	Pig
टमटर	Tomatoes
डकह्कह्युंट	DuckKahyunt
लिल	Lil
ताबतक	Till then
गुरदेव	Gurdev
मालिक	master
हिरन	deer
शर्ब	Sorb
रहो	Stay
मार्र	Marr
जिंडिंगी	Life
ममकिन	Mumkin
पेडेज	Pedage
ओहो	oho
पारने	Parne
सीट	Seat
दो	the figure two
थोको	Thoko
करन	Karan
सपोर्ट	Support
हजार	thousand
मरेंगी	Will die
लखपति	millionaire
वाचानो	Read
दैयय्य	
बनावेन	Make it
अपन	we
कुंडु	Kundu
पाकिस्तानी	Of or belonging to Pakistan
देयर	There
आधे	Half
प्राप्त	received
अराम	Aram
टक	gaze
बकरी	goat
जामेन	Jamen
सौदा	frenzy
अजतक	Till date
सिक्के	Coins
बदी	vice
हुया	What happened?
पार्सो	Parso
पाहन्ने	To see
धानसु	Dhansu
टिल	Til
फुधे	Fudhe
हेलू	Helu
आइयो	Io
आत्म	pertaining to the soul
नारी	woman
मुअह	Muah
दन्याबाद	Danyabad
ईआसी	EIC
इडियट	Idiot
व्हाई	Why
क्यूं	Why
मात्र	merely
मेलिंगे	Mailinge
देरे	Dere
सब्सी	Subsidy
पाश	noose
डोलट	Dolat
दिवास	Divas
बेड	Beds
रख्ती	Rakhi
आल्गो	Algo
नरेन्द्र	Narendra
बाँटे	Share
हरा	green
वॉच	watch
अजयगी	Unbeatable
सल्लुउ	Sallu
पधना	Read
दुबारा	twice
वजूद	existence
आसाय	
झक्कस	Jhakka
बुलाया	Called
चलरे	Let's go
खर्च	expenditure
भूलो	Forget
अरविन्द	Arvind
खुइस	Khuis
रेहंडो	Rehando
रोपकिस्तान्रो	Ropakistanro
कार्थे	Carthe
सिस्टम	system
केरना	Kerna
उठाया	Raised
बैंग	frog
जमाल	beauty
असी	Asi
तेरा	thy
फेकना	Throwing
किरंजी	Kiranji
पिलाने	Drink
कंप्यूटर	Computer
इनी	ini
नकी	Not at all
इसे	thi
डेल्हिशो	Delhi
सबसे	most
ऑर	Or
कड़ी	hard
छोकरी	girl
रिमोट	remote
केजरीबाबा	Kejri Baba
रख	place
यू	u
तयार	Ready
पापा	papa
वैजन	Vaijan
चाड	Chad
हाक	Hawks
एजत	At the same time
चंद्नीगोदरा	Chandnigodra
बिमार	Sick
साका	era
बुरयी	Evil
बोउहूआआआआ	Bouhuaaaa
आपना	Yours
ताखो	Takho
बेचारा	without any resource
हमस्बको	To us
लड़कियो	Girls
किसान	ploughman
सिरसा	Sirsa
मुका	Muka
भुलयघाय	Forget
हिल्ला	Hilla
अभिन	Acting
बेलने	Belne
स्टेज	stage
दांग	Dong
दुडे	Dude
आएँगे	Arrive
अपनाई	Adopted
रेली	Reilly
पाकवसिंद	Pakvassind
सेरियसली	Seriously
एकेप्ट	Adapt
वालों	People
अविजित	unbowed
जिते	Won
इट्स	Its
बाढ़ो	Flood
बदय	Bad
आफ्तरी	Aftari
हेहेहे	Hehehe
दने	Dane
शुरुआत	beginning
पुरे	Enough
गुंडडा	Gunda
जीतेगा	Win
पायेगा	Will get
पहलू	side
अकेले	alone
हजारे	Hazare
छाप	stamp
कैम	cam
इलाही	divine
बोलडेट	Boldet
देखें	See
भैईईईईइ	Brother,
सबके	Everyone
चरस	charas
कुमा	Kuma
अना	Ana
प्रतिक्षिक	Symbolic
ब्टाआ	Tell me
कीम्टी	Kimty
ज़ी	zee
नहान	bathing
विदेसी	Videsi
यही	this very
वेका	Veka
दोफर	Dofer
कामचोरी	laziness
विश्वा	The World
लौडे	Laude
पितिई	Pityi
हिन्डो	Hindi
चुटिया	Tuft of hair on the top of the head men
एहसमान	Ehsaman
महनत	Great
एल्स	Elsa
बलाई	Balai
रहाणे	Stay
बोडे	Bode
गुमने	Missing
पाएगी	Will get
जिन्मे	In which
अपडेट	Updates
मेहंगी	Expensive
टोडे	Tode
जहरीले	Toxic
लुंगी	Long strip of cloth used like a dhoti
चाल	manner of walking
गर्ही	Garhi
आली	high
अब्बू	Abbu
दुर्दर्शन	Television
खी	
रजतिन्सा	Rajtinsa
सुरीया	Suriya
बनानी	Create
तुम्हारी	Your
डाका	dacoity
लौट	returning
जबतक	Until
पिचवाडे	Backyard
बांटना	divide
हूउ	Huu
फादु	Fadu
दयामेहर	Dayamehar
विजयवर्गीय	Vijayvargiya
सत्संग	association with good people
कर्वाएगा	Will get it done
सिखता	Learning
वागह	Wagah
मश्वरा	Maswara
इनवाइट	Invites
ब्टाइ	Tell me
नंदितो	Nandito
क्रुंगी	Krungi
सोफोल	Sofol
ब	The twenty-third consonant of the Devanagari syllabary
संतोष	satisfaction
लकर	Laker
टोक	zeal
नतेजा	The result
जिसा	Which
हैद	Haid
वॉमन	Womon
खोती	Lying
मुरेना	Murena
उम्मेद्वर	Candidate
ज़रुर्त	Need
डोजीना	Dojina
रूपया	rupee
औकत	Aukat
देखठे	Look at it
सपाथ	Sapath
दुशारा	The other
अब्बी	Abby
खून	blood
भारत	India
गिरना	to fall down
पेशावर	peshawar
दुश्रे	The other
समजो	Understand
बहुते	Too much
भगत	devotee
कन्फेशन	Confession
चाहिय	Want
खराप	Sore
मकद	Purpose
गौर	white-skinned
खेलुंगा	I will play
जाएँगे	Will
एसी	AC
मनोजपिंड	Manojpind
पॉपल	Popular
पापजीई	Papaji
पिताए	Father
आवारा	vagrant
हसीन	beautiful
वाजा	Waza
साबरा	Sabra
मार्ते	Marte
दर्र	Darr
ओडिशा	Odisha
चाहो	Wish
डेकोगा	Decoga
थू	The sound made in spitting
शायरी	poetic composition
स्टेट	State
आना	an old
हमारा	our
करिंगे	Will do it
ट्रेन	Train
मत	opinion
मंगना	Mangana
जाएगी	Will
फ्ली	Flea
इए	Ea
कमीना	low
कमलर्खान	Kamalkhan
इनानी	Inani
तनाव	tension
छ्ता	
मुद्दो	Issues
दुल्हन	bride
त्रि	three
नामी	famous
करोडो	Crores
सुर्धना	Surdhana
जारोर	Jaror
पिछ्ले	Previous
गरिबो	Poor
लुंचर	Launcher
आसे	Ace
असा	Such
धवन	Dhawan
इंड	Ind
नीवास	Niwas
मलेरिया	malaria
प्रेम	love
आसी	Asi
जलक	Water
दीप्ती	Deepti
लकड	Wood
ईव	Eve
वही	The same
जाम	jammed
उँचा	high
भारतीयो	Indians
राहमोकर्म	Rahmokarma
खायेंगे	Will eat
मन्हूस	Manhus
जितने	as many
नवा	bend
आप्केसट	Opset
सल्लुउउउउउउ	Sallouu
दीकत	Trouble
चाप	arch
नाज	pride
इलेक्ट	Elect
भाजपाईयों	THE BJP
मुजे	Me
पाका	Paka
हूहू	Huhu
सतलोकपुर	Satlokpur
रहम्त	Rahmat
दीवानिया	Diwania
हमार	Ours
हा	Yes
दिन्न्न	Dinnan
उद्बीलाओ	Excitement
खोड़	Khod
खाता	eating
ह्यूमेन	Humane
पटेल	village headman
जायेगा	Will
साठ	Yes
रमज़ादो	Ramadan
वसूल	acquisition
साइर	Cyr
सलामात	In peace
गेल	Gail
दुसरे	Other
काहिये	Tell me
लू	hot wind
चुराने	Steal
फना	Fana
सताओ	Torture
च्ये	Want
लगत	Data
कर्मो	Karma
तुझे	thou
जल्दीबाजी	Haste
सेरखान	Serkhan
रेअलीय	Real
मिस	pretext
तुमको	thee
पुंगी	Pungi
उद्बीलौ	Udbilou
फेब	Feb
दर्शको	Viewers
प्रोब्लम	Problem
मदर्चू	Mother's
चारयें	Four
सरदेसाइराजदीप	Sardesairajdeep
चीह	Chih
आएगा	Will
नामसे	By name
आजल	Ajal
गिद्गिदहट	Gidting
रहाई	Stay
कसक	twitch
मायावती	Mayawati
राखा	Keep
नादान	ignorant
बटी	Bati
गुड्डू	Guddu
उस्की	His
खमियाजा	Khamiyaja
बिन्दास	Bindas
होली	bonfire
मोबाइल	Mobile
आदा	Ada
ओवासी	Owaisi
खिलड़िओ	Players
बेहुदा	Stupid
सॉय	Soy
जंटे	Zante
मामा	maternal uncle
तलक	Talc
भेंचिक	Bhenchik
आन	prestige
तारेह	Tareh
चरोर्पति	Charorpati
कारिक	Carrick
नीति	policy
खोज	search
होट	Hot
धासू	Dhasu
सपना	dream
शान	dignity
टेनो	Teno
पाधी	Read
आगा	front
मरतिई	Death
हाडग	Hadag
यहीं	at this very place
ब्रेड	Bread
ओधा	Odha
बांग्लादेश	Bangladesh
सून	Soon-in-law
लिकेट	Lickett
ण्ड	N
थीक	Thik
बंदगी	salutation
ठक	tapping sound
शी	She
वाडी	Wadi
खर्चे	Expenses
बंध	tie
तुमरे	You
तारीफ	admiration
पोलिसियों	Policies
बंद	joint
माना	Believe
आप्दा	Apda
रामू	Ramu
विरोध	opposition
खतरनाक	dangerous
सिनेमा	Cinema
सहयोग	cooperation
चप्पन	A lid or cover of a large pot
हटप	Hatp
करोरो	Crores
सच्छी	True
म्यूट	Mute
आप्कासात	In your
ट्रायिंग	Trying
डैडी	daddy
लास्ट	last
थोक	wholesale
माँ	Mother
उपाये	Remedies
पैदाईश	Birth
नारीकी	Woman
हटालो	Remove
चिल्लाते	Shout
लोडा	Loda
देओ	Give it
एटन	Eton
चुटमे	Jokes
कुट्टो	Kutto
भुरे	Brown
पुत्र	son
इज	Is
अंडे	eggs
तोदो	Break it
भ्रष्टाचार्यो	Corrupt
करायेगा	Will do it
अपको	To you
शोले	Sholay
मेले	Fair
बकचोडी	
एस्सलामलाइकुम	Esslamlaikum
दावा	claim
जानकारी	knowledge
अमरदीप	Amardeep
दिलायेगा	Will give
दुसारा	The second
एगा	Will be
बजके	Ringing
उमरा	Gentility
आये	Came
भूपेंदर	Bhupender
पार्टीज	Parties
खेला	Played
सतनाम	Satnam
गुरा	Gura
हराया	Beat
शिवाय	Besides,
स्बका	Sbacka
केजरीवालोंत्व्फ	Kejriwal
मेहेक	Mehek
क्रवाडी	Krawadi
नाआ	Naa
थी	Was
तुषार	frost
अपनी	Your
शौकीस	Amateurs
वहा	There
फल	fruit
पोल	hollow
क़ुर्बन	Qurban
हुंदुस्तानी	Hindustani
लिओ	Leo
सहे	Sa
आयास	effort
ज्वाब	Answer
चोवक	Chovak
हाथ	hand
चाहत	love
साता	Sata
बारतिओ	Bartio
इंशा	Insha
चिप	Small piece cut or broken off from wood
टोइंगलिश	Toenglish
पिक	Indian cuckoo
मुंधडा	Munda
मिलाडो	Milado
नुक्षण	Nucation
फोकट	free
गिरीश्वंवरी	Girishwari
क्योंकी	Because
जरूरत	need
धो	launder
फुटबॉल	football
चादू	Chadu
बहू	bride
पांडी	Pandi
निची	Low
जेब	pocket
हाहाहाहा	Hahahaha
ग्रुप	group
क्रिये	Take action
कर्जत	Karjat
राज	kingdom
सरकारी	official
बब्बू	Babbu
ब्लियकमी	Blyakami
पागई	Pagai
बतडो	Tell me
आगाई	Arrival
मुस्कुरायेगी	Will smile
असम	unequal
शिर्फ	Shirf
हॉग्यी	Hoggy
लेलो	Take it
पहलाई	First
माई	mother
भाउत	Cow
गान	song
सक्सेना	Saxena
आद	Ad
चासे	Chase
लिय्ये	Take
पीचे	P.
पचौरी	Pachauri
लेगा	Will
भरोषा	Bharosa
सौभाग्य	Good luck
कलाधन	Black money
सत्ता	existence
गयेया	Gone
केजरीबाल	Kejriwal
जरिये	Via
हासी	jocose
घई	Ghai
चीजो	Things
चोरे	Thieves
जंगे	Jang
पीचले	Back
भूधे	Hungry
राफेल	Rafael
नलकूप	tube-well
छाये	Shadow
कजरी	A class of folk songs sung in rainy season
रेलबजट	Railway Budget
पायी	Indicating one or that which drinks or absorb
चुटा	Chuta
ओम्फगोमफगोम्फ	Omfgomfgomf
घुस	forcibly entering
किसी	certain
गुस्सा	anger
सिखाये	Teach
चाचा	paternal uncle
किरणबेदी	Kiran Bedi
आजायेंगे	Will come
खोलके	Open
कूट	fraudulent
कहीं	somewhere
सिखर	Sikhar
टोपी	cap
आपज	You
जाननार	Jannar
फर्स्ट	First
अमित	immeasurable
गल	throat
जारे	Go
लोकसभा	Lok Sabha
अलीशा	Alisha
बनायेगी	Will make
दुत्कर	Dutkar
भहुथ	Bhahuth
लगती	Seem
साहिलिंसा	Sahilinsa
त्यार	In the
चुटया	Chutya
करेगा	Will
निकलुंगा	I will get out
चेगा	Chega
क्रोलो	Crowlo
आओव	Come on.
तोड़दिया	Broke
गरीबों	Poor
शरर्ती	Sharti
फिंगरिया	Fingeria
डांडे	Dande
घमंड	pride
पिताई	Father
आर्ट	art
होस्टेल	Hostel
राखे	Keep it
माल्या	Mallya
सोचेगा	Will think
रीड	reed
लाये	Brought
संबित्स्वराज	Sambitswaraj
प्रूव	Proof
बढिया	fine
वाही	bearer
निकली	Turned out
धोखेबाज	cheat
युबा	Yuba
राइट	wright
फिर	again
होन	Yes,
वहान	There
मंडा	Manda
उद्दा	Udda
पडोसी	neighbour
श्वेता	Shweta
स्ट	ST
संसद	parliament
हान	Han
अवराट	Awful
सुनकर	Hearing
रू	Rs
पॉसिबल	Possible
फट्टे	Cracked
जैसन	Jason
भागते	Rush
अजल	waterless
अन्ना	Anna
पेरेंट्स	Parents
भैया	brother
कुबन	Kuban
माजरा	happening
आयला	Aayla
बड़कर	Big
इईईईईई	IEEE
तरक्की	promotion
बीच	middle
भारता	India
बोल	utterance
हथूदा	Stubborn
भैय्यों	Brothers,
पतंग	paper kite
बन्द	shut
सेम	bean
कृप्या	Please
दात	gift
सेफ्टी	Safety
स्मह	Smah
कृष्णा	Krishna
कार्दी	Cardi
थिंक	Think
आपकाकम	Your work
इस्कियास्की	Iskisky
खराब	bad
काबी	Kabi
दुब्ता	Dubta
देशराज	Deshraj
घुमाना	to revolve
विभाग	apportionment
सेडका	Sedka
सर्वेनाश	Destruction
मुंगेरिलाल	Mungerilal
फ्टके	FTK
सुब्को	Subco
अको	Ako
तेरी	thy
लोन	Loan
संत	saint
बैटसमैन	Batman
कोल्ग	Kolg
स्बेम	Sbem
बूथ	booth
मारकर	By hitting
थाब	Thab
सेगा	Sega
घाड़ी	Clock
फूट	dissension
दाते	Teeth
न्डत्व	Ndtva
याकिन	Yakin
न्ज	N j
पियो	Drink
पाता	Finds
बहलने	Flowing
जसी	Just like
फकू	Faku
भोलती	Bholati
लालची	greedy
कॉन्फ्सन	Confson
थोड़े	a few
