Data,Label
এইসব ফকির ফাকরা নাকি রেপার হইবো কন্ঠ শুনে মনে হয় ডেন্ডি খায় বাল পাকনা পোলা ক্লাস ফাইভ পর্যন্ত সরকারি স্কুলে ফ্রী পড়াশোনা ক্লাস ওয়ানে নাকি বেতন দিতে পারে না । যত্তসব আজাইরা কথাবার্তা । আরেক আবাল পাগল হালায় ওরে ভাইরাল করছে দুইটা গাঞ্জা খোর,2
এই চ্যানেল এর খবর গুলা আমার ভালো লাগে । কারন তারা যতটুকুম মারে সত্তি খবর ই দেয়,1
এবার হিজরাদের নিয়ে রিপোর্ট করেন ওদের যন্ত্রণায় মানুষ অতিষ্ঠ হয়ে আছে,1
ভিডিও করার জন্য যে ভাবে ভোজন বিলাস হচ্ছেন তাতে করে মনে হয় আল্লাহ না করে হাসপাতাল না যান আপনি,2
"জরিমানা এর বেশি শাস্তি দেয়া হোক , শুধু জরিমানা দিয়ে কিছুই হবে না ",2
ভাল্লাগছেরে ভাই খুব্বব্বব্বব ,1
"দাদা কি বাড়িটাই না বানিয়েছেন , ! ",1
বাংলাদেশ কুকুর দামআচে পুলিশ দাম নাই,2
আপনার নাচ দেইখা আমারো খাইতে ইচ্ছা করছে,1
ভালো লাগল বিউটি বোডিং দেখে । আমি শুনেছি বাংলাদেশ এর সাধীনতা র ইতিহাস এর সাথে একাত্ত্ব এই বোডিং হাউস,1
বন্ধু জাহিদের জন্য শুভকামনা ,1
আমলিগ এই দেশটা শেষ করে দিবে ,2
সেদিন আপনাকে হাসের মাংস খাওয়ার সময় দেখেছি । ভাল লেগেছে । একবার ভেবেছিলাম পরিচিত হই । তারপর কি ভেবে যেন আমাদের দলের সাথে ব্যস্ত হলাম,1
কুখ্যাত হাসিনার পুলিশলীগ মানেই ক্যাসিনো,2
সরকারের কাছে আকুল আবেদন এই পুলিশদেরকে আইনের আওতায় আনার জন্য কঠিন শান্তি দেয়ার জন্য ,2
ভাইয়া আর আপু আপনাদের নতুন ফ্যান আমি । অসাধারণ ভালো লাগলো আপনাদের এ ভ্লগটা । দারুন সুন্দর বর্ণনা খাবারের আর সবকিছু মিলিয়ে খুবিই সুন্দর । মুগ্ধকরা যাকে বলে । অনেক তথ্যও জানা গেলো । শুভ কামনা রইলো আপনাদের জন্য আর ভ্লগের উত্তরোত্তর সাফল্য কামনা করছি । ভালো থাকুন সবসময়,1
"শুধু ভার্সিটি নয় , প্রায় প্রত্যেকটা কলেজে ছাত্রলীগ সাধারন ছাত্রদের উপর অত্যাচার করে ",2
"ঢাবি , ঢাকা কলেজ , ইডেন , সাস্ট , জাবি সহ প্রত্যেকটা পাবলিক ভাসিটিতে একই অবস্থা । শুধু নাই নয় এডমিশন টেষ্ট দেয়ার সময় ও র‍্যাগিন খেয়ে এসেছি ",2
হ্যা এদের চলাফেরা সব ছেলেদের মতই । এদের অনেকের সাতে আমি কথা বলেছি । এবং আমাদের মেনেজাও এরকম ছিলো ,2
মারা খেয়ে গেছি । এই খাবার বাঙ্গালী জীভের জন্য উপযুক্ত নয় মোটেই,1
কলকাতাকে মনে হয় যেন নিজের শহর । বাঙালি চিরন্তন ❤,1
ভাই ভিডিও অাপলোড করার অাগে ভালো ভাবে কথা বলতে শিখুন দয়া করে ঠিকমত বাংলা ভাষাটা শিখে ভিডিও অাপলোড দিবেন,2
আমি বাংলাদেশের সবাইকে আমার দেশ ভারতে আসার জন্য আবেদন করছি । আপনারা আসুন এবং আমাদের দেশের খাবার দাবার এর মজা নিন । টুরিস্ট স্পট ঘুরুন মজা করুন,1
ভাই এটা কি পুরা সাপ্তাহেই পাওয়া যায় নাকি কোন দিন অফ থাকে,1
ডিপেন্ড করে আপনার লাইফ স্টাইলের উপর । পার হেড 6 - 9000 টাকা,0
ব্যাকগ্রাউন্ড এ মানুষ এমন ভাবে তাকার আসে মনে হয় এলিয়ন দেখতাসে,0
পাপন একটা শয়তান । তাকে যেণ মাননীয় প্রধানমন্ত্রী লাথি মাইরা বি সি বি বোট থেকে সরায় এই অনুরুধ রইল প্রধান মন্ত্রী কাছে ,2
"ভাই , একদিন আমাদের ইসলামি বিশ্ববিদ্যালয় কুষ্টিয়ায় আসেন ",1
আমি অনেকবার গেছি অই রেষ্টুরেন্ট এ । ভর্তা গুলা অসাধার,1
বছর আগের ইচ্ছা বালি তে যাব । কিন্তু আমি যেসব প্রসেসিং লাগে তা জানি,1
"ভাই , আপনাদের ট্যুর এ যোগদান করার নিয়মাবলি কি ? জানালে খুশি হবো ",1
ভাই এই রাব্বানী হটেলে খাইছি ১৯৯৫ সালে এখন ২০১৯,0
ভাইয়া বিরাল কুথাথেকে কিনছেন,1
কয়েকটা শুয়ারেরবাচ্চা ঘুষখোর পুলিশের জন্য এই কর্মকান্ড গুলো হয়,2
ভুটানে একা যেয়ে পুশাবে না । ঐখানে পাব্লিক বাস খুবই কম । নাই বললেই চলে । ঐখানে শেয়ারড ট্যাক্সি পাবেন,0
বাংলাদেশকে আর কত নিচে নামালে তোদের মত পাঠারা শান্তি পাবি । আল্লা কেন তোদের কে শেষ করে না আল্লাই ভালো যানে,2
"পুলিশের কোন জাত , ধ্রম , জরম্ম পরিচয় পলতে কিছু না , এরা আল্লাহর তেইরি শয়তানের চেয়ে ও শয়তান ",2
আশরাফুল তো পাপন কে ভাগ দেয়নাই আর লোকমান তো ভাগ দিছে । বেপারটা বুঝতে হবে,2
আসলেই তিনি বাংগালীদের মহারাজ ,1
আপনারা হলো খারাপ ইন্ডিয়া নিয়ে নাচিন । বাংলাদেশ টাকি ইন্ডিয়া বানাতি চান উনি ছাড়া বাংলাদেশ কোন লোক নাই তাঁকে নিয়ে অনুষ্ঠান করেন । আপনাগো ছাগলের জন্য এই অবস্থা ,2
"ভাই আমার কথাও এইটাই , এই কমেন্টস টা কেউ করছে কিনা দেখার জন্য খুজতেছি । ধন্যবাদ ভাই ",2
"এইহানে , আ * * * * জারজ আছে নাকি ? । কুত্তার পোলাগুলা ",2
ও না হয় ছোট । তুই তো বড় বলধ একটা ,2
এত আল্লাহওয়ালা মানুষের দেশ যে কিভাবে দুর্নীতে তে চ্যাম্পিয়ন হয় সেটাই মাঝে মাঝে বুঝে উঠতে পারি না,2
মন্ত্রী আর এমপিদের বাড়ীতে পারলে রেড দে । তহন বুঝা যাইবো তোদের পায়ের তলায় মাটি কতটুকু,2
অতীত ইতিহাস বলে ! যমুনা টিভি পারবে সঠিক তত্থ উন্মোচন করতে,1
"ভাই আফনার বিডিও গুলা খোব ভাল আমি সভ সময় দেখি , আমি সৌদিআরবে থাকি ",1
মুসলামানরা না জেনে বা এক্সিডেনটালি পর্ক খেয়ে ফেললে তাদের কোনো পাপ হয় না বা তাদের জাত যায় না । ইসলাম মতে পাপ হয় শুধুমাত্র সজ্ঞান ও ইচ্ছাকৃত কাজের জন্য,0
* এগুলো বড়লোক জানোয়ারের বাচ্চাদের কাজ,2
ভাই নুডুলসটা বাংলাদেশ কোথায় পাবো । আমি ঝাল নুডুলস অনেল পছন্দ করি,1
"ফার্মের মুরগি , পাকিস্তানি মুরগী , দেশী মুরগী সব মুরগীইতো দেশে উৎপাদন হয় তারপরেও দেশী মুরগী আলাদা হয় কেন ",0
অনেক অাগে বংশাল নতুর চৌরাস্তায় মজিবরের ফুচকার দোকানে চপ দিয়ে চটপটি বানাতো,1
এমন একজন সুপারহিরোকে আপনারা লুকিয়ে রেখেছেন ,1
বিঝাই যাচেচ লাভ খুবই সিমিত,0
"সেই সব বাবা মারা লোভী , তারা টাকার গন্ধ পেয়েছে । ঢাকায় এসে মিছিল করেন এই ঘুনে ধরা ছেলের বিপক্ষে । লোভে যেন আম ছালা না যাই , ভন্ড সাধু সাবধান ",2
"যে রাজনীতি মানুষকে মনুষ্যত্ব শেখানোর পরিবর্তে পশু বানায় সে রাজনীতির কি দরকার ? ধিক্কার জানাতেও ঘৃনা হয় । দেশের সর্বোচ্চ বিদ্যাপিঠের মেধাবীদের যদি এই অবস্থা হয় । কোথায় গিয়ে ঠেকেছে আমাদের বিবেকবোধ , নৈতিকতা আর ধর্মীয় মূল্যবোধ ",2
এমন করে চলতে থাকলে সামনের দিনগুলোতে ধর্ষণের সেঞ্চুরি জন্য বাংলাদেশ সরকারকে নোবেল জয়ী করা হবে,2
খুব ভালো লাগলো ভাইজান । ভালোবাসা রইল কোলকাতা থেকে । দেশ থেকে বিদেশের আরো খাবারের সঙ্গে পরিচিত হবার অপেক্ষায় রইলাম,1
আমি তো দামি ক্যামেরা ছাড়া শ্যুট করছি । প্যানেল ছাড়া এডিট করি । আমার সব কিছু থাকে পকেটে । প্লিজ ফিডব্যাক জানান,1
"লোকমান যেহেতু মদ খায়না জুয়া খেলে না । তাহলে মদ জুয়া মাগি পাপন কে সাপ্লাই দেয় , পাপন তুই পাপী ",2
"ভাইয়া , আমিতো ঐদিকে জাইনাই , তাই প্রসেসটাও জানা নাই । সরি : ( ",1
হা হা হা কাক্কু বলে কথা ,2
"শরীর টা খুবই অসুস্থ তাই গত 3 মাস যাবত বাইরে বের হতে পারছি না , ইউটিউবে আপনার ভিডিও দেখেই তাই মনের ও মুখের সাধ মিটাচ্ছি , এজন্য ধন্যবাদ খালেদ সাইফুল্লাহ ভাইকে এবং তার টিমকে । আপনাদের সাফল্য কামনা করি ",1
গে দের সচরাচর মেয়ে বান্ধবি বেশি থাকে,2
সনির গুলিটা ভুলে লাগছে আার আবরার কে তো পরিকল্পিত মার্ডার ,2
শুধু বুয়েট নয় সারা বাংলাদেশের শিক্ষাপ্রতিষ্ঠানগুলোতে ছাত্র রাজনীতি নিষিদ্ধ ঘোষণা করা হোক ,1
দার্জিলিং গিয়ে কি তোমার মাকে চুদবে খানির ছাওয়াল । দার্জিলিং এ কি বাল আছে ? শুধু শুধু দেশের টাকা গুলো মালাউনদের দিয়ে আসাছাড়া আর কি,0
এই ইউইউ হানি সিং বাদ দিয়ে রানাকে বিশ্ব সেরা রেপার হিসেবে দেখতে চায় ,1
ইসলামি আইন এবং পর্দা প্রথা কঠোর করা হোক,0
"আপনার ভিডিও গুলো সত্যই প্রাণবন্ত , বিষয় বস্তু ও উপস্থাপনা অনবদ্য । পুরানো দিনের স্নিগ্ধ স্মৃতি ",1
অনেক দিন ওয়েট করাইছেন সায়েম ভাই,0
কেউ ভুলেও এইখানে যাবেননা । এদের ব্যবহার খুব বাজে,2
"বাঞ্চোদেরা একটা গরীবের টাকাও মেরে খেলো , একটু বিবেকে বাদলো না ",2
বাংলাদেশে এই সমস্যাটি গুরুতর । আইন সবার জন্য সমান নয় এখানে ,1
আমি মাঝে মাঝে যাই খুব মানগত খাবার,1
"ভাই মানিকগঞ্জ থেকে এই খিচুড়ি খাওয়ার জন্য ঢাকা আসার দরকার নেই । যদি অন্যকাজে আসেন , তাহলে ট্রাই করতে পারেন । ডিসক্রিপশনে এড্রেস ডিটেইলস দেয়া আছে ",1
বাংলাদেশের একমাত্র আপনি আছেন নাম্বার ওয়ান ইউটিউবার খাবারের দিকে,1
যদি পদানশিল মহিলা হতো তাহলে টাকা ছারা আপনাকে ভালোবাসত,2
আমি মনে করি আই - ফোনর চেয়ে হুয়াও অনেক বেটার,0
কোথাও অন্যায় থেকে অবিচার থেকে অত্যাচার আর রেস্টুরেন্টের অভাব দেখলে রুখে দাঁড়ান,1
শিশুর ধর্ষন বন্ধ হবে যুদি সবার সামনে অপরাধীর ফাঁসি দেয়া হয়,0
সুদূর ভারতে হাদরাবাদের নিজাম । সেটা বাংলা দেশে কি করছে ? অবশ্য রাজাকার সাপোর্টার থাকলে সেটা অন্য ব্যাপার । অবাক হলাম,2
ব্যক্তিগত মাইক্রোবাসে সাজেক যাওয়া সম্ভব কি,1
* কে কে আমার ভিডিও লাইক করলে ? *,0
"ভর দুপুরে এত খাবার দেখে ভীষণ লোভ লাগল দাদা , দিদি কে দেখতে পেলে ভালো লাগত ",1
আদনান ভাই আপনি নাটক করেন দুরন্ত টিভিতে,0
আপনাদের চ্যানেল এর সহকর্মী,0
"ভাই খাবারটা দেখলেই আপনার চোখ গুলা যেইভাবে চকচক করে , তাতে মাঝে মাঝে মনে হয় আপনি এইবার চোখ দিয়েই বোধহয় খাবেন ",1
টাকা দিলে হসপিটালে দোভাষী পাবেন,1
তাহলে সেষ জীবনে প্রধান মন্ত্রীর সাহাজ্য লাগবে ,0
হিল্লোলের পক্ষে এত সাফাই গাওয়ার ও কিছু নেই । আমিও বাংলাদেশের মানুষ । হিল্লোলের মত এত শ্যালো মানুষ দেখি নি,2
সায়েম ভাইয়া আমি এবং আমার ফ্যামিলি ও আপনার সাথে ভ্রমন সংগী হতে চাই,1
"পুলিশ মানে যারজ আচোদা খানকির পোলারা , ওর মা বইনরে ভারা দিয়াতো টাকা কামাইতে পারে সাধারন মানুষের টাকা খায়কে , আজ সাংবাদিক দেখে গটনাটা মিডিয়ায় আসছে , আর সাধারন জনগন হলে কেউ জানতোই না এখন এমন গটনা পতি রাতেই হয় , শুয়েরের বাচ্চারা এখন এমনি ছিনতাই করে ",2
"ক্যামেরা অতিরিক্ত সাদা হয়ে যাচ্ছিলো , প্লেসমেন্ট ও ঠিক নাই ",0
ভিডিও গুলোর আরো একটু এডিটিং প্রয়োজন । বড্ডো একঘেয়ে লাগে মাঝেমাঝে,2
ভাই শুধু আপনে খান কেনো আপু খায় না,0
বাচ্চাদের রেখে ওরা নিজেরাই খাচ্ছে ! এটা ঠিক না,0
আপনার হসিটা সত্যি দূর্দান্ত,0
তাদের উন্নত বিশ্বের মতো কর্মসংস্থান করে দিলে ও মূল সমাজের সাথে মিশতে দিলে এ সমস্যা থাকবে না,1
ফকিন্নির পুতেরা যখন রাজনীতি ঢুকে তখনই এ রকমই হয় । একটা সময় ছিল জমিদারের পোলায় বাংলায় রাজনীতি করছে । জিন্দেগীতে টাকাপয়সা দেখেনাই এগুলো যখন রাজনীতি করে তাহলে তো অবস্থা এরকমই হবে এটা নিশ্চিত । তবে এটাও সত্য ছাত্র রাজনীতি যদি উঠে যায় তাহলে অবশ্যই ছাত্রদের অস্তিত্ব হারিয়ে যাবে,2
স্বপ্নতে তার স্বপ্নের বাস্তবায়ন করুক ,1
"এই ভিডিও দেখে বোঝা যায়নি ? , ! তাহলেতো আমার কষ্টটাই বৃথা : ( ",0
"ইরানের একটাই শক্তি , নিজস্ব প্রযুক্তির উন্নত সব মিছাইল ব্যবস্থা ",0
ওটা কোন সমস্যা না এটা জাতির আব্বার দেশ তাই খুশির ঠেলায় এরকম করছে,2
দুঃখের ব্যাপার হচ্ছে আমি ধুমপান‌ই করি না অথচ আমাকে ইয়াবা দিয়ে ফাঁসানো হয়েছে,2
"পোলাও , গরুরমাংসো , রোস্ট সবকিছুই ভয়াবহ অতিরিক্ত তেল জবজবে ",1
ফাহিম ভাইরে ও নিয়া যাইতেন । তাহলে আরো কিছু খাওয়ার রিভিউ দিতে পারতেন,1
এই খানকির পুলা তর ভাগমান সম্পরকে আমি কিছু বলছি নাকি তুই আল্লাহ সম্পরকে বলবি কেন ,2
উবুদের যেখানে গেলেন খেলেন নৌকায় কেনো উঠলেন না,1
তোমরা যদি শব্দ উচ্চারণ না করতে জান তাহলে খবর করবে না তার কারণ হল সে হল গলি বয় । গালি না তোমরা বেশি শুদ্ধ করতে গিয়ে শব্দের অর্থের বারোটা বাজিয়ে দাও ,2
হালিম জীবনের একটা অবিচ্ছেদ্য অংশ <3,1
পানসি র রিভিউ করলে শ্রীমঙ্গলের টা করা উচিৎ । সিলেটের টা না,1
2050 সালে এই 900 সিসি বাইক বাংলাদেশে আসবে ইনশাআল্লাহ ,0
ভাইয়া খাবারের কিছু ক্লোজ শট নেবেন আশা করি,1
"চেহারা দেখেই বুঝা যায় হাতির মালিক কোন কোটি পতি নয় বরং দারিদ্র্যতার সাথে যুদ্ধ করে টিকে আছে সে , সে যা করছে পেটের দায়ে করছে । দয়া করে তাদের কর্মসংস্থানের ব্যবস্থাটাও করবেন । কখনো কি ভেবে দেখছেন তার ফ্যামিলির কি অবস্থা ",1
ভাবিকে মনে হয় একটু বেশিই ঝাল লাকছে,0
"খুবই ভাল লাগলো , আমি আপনার ভিডিও সব সময় দেখি । আমিও একজন ভ্রমন পিপাষু হিসেবে খুব উপভোগ করি । ধন্যবাদ ",1
এইগুলো তো পুলিশ না এরা হলো কুততালীগ,2
আমার মত কে কে কমেন্ট পড়তে আসছ হাত তুলো । ✋ ,0
আপনি সত্যিকারের বাঙালি এবং খাদ্যরসিক ও বটে,1
আসুন আমরা সঠিক ভাবে ৫ ওয়াক্ত নামাজ আদাই করি,1
"এই মেয়েদেরকে 1কোটি করে টাকা দিয়ে দিন , তারা তাদের পরিবার নিয়ে সুখে থাকুক ",0
দিণে দুপুরে ডাকাতি এই ভাবে হয় বাংলা দেশে,2
এই ধরনের খাবার ভিডিও ভোর থেকে রাতে শুয়ে শুয়ে দেখলে কেমন লাগে ভাবতে পারেন,1
হিল্লোল ভাই আপনার প্রতিটা পর্ব দেখি খুব ভাললাগে । চালিয়ে যাবেন ইনশাআল্লাহ,1
আল্লাহ তায়ালার রহমতে নতুন জীবন ফিরে পেল * পেলে,0
টাকা টা ওনার দিয়ি দেওয়া হোক,1
১০ থেকে ১২ টা ভিডিও দেখে ফেললাম দারুন লাগলো । আন্তরিক ভালোবাসা আর অভিনন্দন রইল ভারত থেকে,1
অসাধারন আপনার প্রেজেনটেশন,1
খালেদ ভাইয়া তোমার ভিডিও গুলা খুল ভালো,1
ধরেনা ক্যান বোকা চোদারা এই কথা বলার মানে কি 1 : 18 তুই শালা নিজেও তো বোকা চোদা দারায়া দারায়া তামাশা দেখতা ছোছ,2
"সকালে গুহ্যদ্বার কি পরিমাণ জ্বলবে , এইটা ভেবে হলেও না হয় না খেতেন ",2
"আমাদের চারপাশে এমন অনেক প্রতিভাবান মানুষ আছে , যারা পরিবেশগত কারনে নিজেদের প্রতিবা প্রকাশ করতে পারেনা ",1
"তোর বাপের টাকা আছে দেখে আজ তুই হিজ্রা হয়েও , ছেলে সেজে গাল ফ্রেন্ড নিয়ে ঘুরছিস । জাতি তোকে চিনতে পারে নাই ",2
সাধারণ মানুষদের থেকে ও তারা এভাবে খাই । পুলিশ না পলিথিন,2
"সবাইকে একটাই অনুরোধ , কিছু খারাপ পুলিশ কর্মকর্তাদের অপরাধের কারণে বাংলাদেশ পুলিশকে গালি - গালাজ করবেন নাহ ",1
এইসমস্ত মোবাইল ফোন কেনা আমাদের সাধ্যের বাইরে সামর্থ্য বলে একটা কথা আছে না । তারাই কিনতে পারবে যাদের আয়ের উৎস অনেক বেশি এবং অফিসিয়াল লোকজন,0
অমি জেল থেকে বলছি লেখা কেন ? অমি না হয়ে আমি হবে,0
যতদিন এই পুলিশ সন্ত্রাস গুলাকে ক্রসফায়ার করে না মারা হবে ততদিন এই দেশে শান্তি আসবে না আগে পুলিশের ভিতরে ঢুকতে হবে তারপরে দেশের জনগণের,2
যে জায়গায় এই রকম পুলিশ দেখবেন গণ ধোলাই দিবেন তাহলে আর সামনে তারা এইসব করার সাহস পাবে না,2
"কলকাতায় একবার গিয়েছিলাম , আবার যাবো ইনশাহআল্লাহ , আই লাভ ইউ কলকাতা ",1
ভাই ক্যামেরাতে নরমাল মুড রেখে ভিডিও করেন,2
প্যরাডাইস বিরিয়ানির খাবার খুবই সুস্বাদু । আমরা গতবছর হায়দারাবাদে গিয়ে খেয়েছিলাম,1
ভাইজান আপনের ভিডিও সব দিখী খুব ভালো লাগে থ্যাংকস ,1
যদি ভজহরি মান্না মস্কো তে,0
"পাপন সালা তুই চুর , আশরাফুল বাংলাদেশকে ক্রিকেট বিশ্বে মাতা উচু করার টাই জুগিয়ে ছিল , তুই পিকসিন দায়ে ৫ বছর বাইরে রাখছ আার বলছ আইন কাজ করতে দেরি হবে আমরা বসে থাকতে পারব না , ও কি তোর বাপ লাগে যে ক্যাসেনো সাথে জড়িত ভরিসকার করছ না ",2
"রাতাটা অনেক সবুজের বরপুর , অনেক ভাল পরিবেশ ",1
বাংলাদেশের একেক দোকানের বিরিয়ানি একেক রকম । তাই এতো বিরিয়ানির ভিডিও দেখানো হচ্ছে,1
"ততোদিন সমাজের যিনা , জাহেলিয়াত দুর হবেনা ",0
2 । ভ্রমন ভিসা কত দিনের নিতে হবে,1
"ভাই , ফ্রীতে খাইলে সবই বেহেশ্তী লাগে ",2
পচা চুদা বাংলাদেশের কুন দিন গরীবেরা বিচার পাবে না,2
আল্লাহ্ তাআলার রহমত আছে এদের উপর আলহামদু লিল্লাহ্,1
"ঢাবি , ঢাকা কলেজ , ইডেন , সাস্ট , জাবি সহ প্রত্যেকটা পাবলিক ভাসিটিতে একই অবস্থা । শুধু নাই নয় এডমিশন টেষ্ট দেয়ার সময় ও র‍্যাগিন খেয়ে এসেছি ",2
বাচ্চা তাকে ত এক্তু দিলেই পারতেন । গরিব বাচ্চা তা আপনার কাসে খেতে গিয়েছিল আপনি কাজতা থিক করলেন না ভাই,2
ছাগলের মত কমেন্ট সব । যতসব । আরে ভাই আমরা তো এসব রেগুলার খাইনা নাম জানা কি জরুরি ? আমাদের অনেক কিছুই আপনারাও খান নি । আমাদের দেশের মাঝেও খাবার সবখানে এক না । ভারত বাংলাদেশ হিসেব না করে বাংগালীর হিসেব করুন দাদারা । দাওয়াত রইলো,2
বাংলাদেশে কি কখন এই ১০০০ সিসির মোটরসাইকেল আসবে,2
"পুরো পর্ব দেখে অনেক সুনাম শুনলাম , সে অনুযায়ী রেটিং টা কমই মনে হল । আর রেটিং টা কেনো কম বা বেশি হল তা যদি একটু ব্যাখ্যা করতেন সামনের পর্বগুলোতে , আশা করি আরোও ভালো লাগবে । এখনও লাগছে । ♥ ",1
আপনি খালেদ সাইফুল্লাহ না আপনে টমেটো হোসেন,2
"প্রবলেম কি রে ভাই , হুদাই ওটস খাবার দিনগুলোতে জুলুম শুরু করসেন । তিনবেলা ওটস খান চিনিছাড়া ডায়েট মিল্ক দিয়ে তারপর দুঃখটা বুঝবেন ",2
সংবাদ পাঠিকা এত মেকাব নিছে ,2
"আসোলে এসব টিকেটের টাকা পাওয়া যায়না , ঐসব টিকিট কিক্রেতাদের গনপিটোনিতে মারা উচিত ",0
"বাঙালিদের মুম্বাই তথা , মহারাষ্ট্রের খাবার ততটা ভালো লাগে না । ওদের লঙ্কায় ঝাল নেই ",0
মহাখালীর মোড়ে একটা দোকানেও কলিজার সিঙ্গারা পাওয়া যায় । ২০১০ সালে এর দাম ছিল ১০ টাকা পিস,0
অনেক ভাল লাগার একটা এক টাকার তেহারি বিদ্যা নন্দ কে অনেক ধন্যবাদ এই মহান উদ্দোগের জন্য,1
"অনেকে বলবেন আমি খারাপ , তবে না আমি কোনো স্পেশাল এডিশনে ছিলামনা শুধু মাসাজ নেওয়ার জন্যই গিয়েছিলাম ",0
100 হাত মাটির নিচে থেকে জামায়াত ইসলাম বিএনপি'র কর্মীদের পুলিশে খুঁজে বের করে নেয় 11 বছর ধইরা ক্যাসিনো ব্যবসা করে সেটা কেন জানেনা পুলিশে এর সাথে রে পুলিশ জড়িত তাদেরকে আইনের আওতায় আনা হোক,2
এর না হওয়া পযর্ন্ত ভক্তভুগির পাশে থাকবেন আশা করি,1
এখানে কিছু দিন আগে ভ্রাম্যমাণ আদালত অভিযান চালিয়েছিল এবং খাবারে ভেজাল এর উপস্থিতি পাওয়া গিয়েছিল এবং এখানে খাবার খেলে নির্ঘাত কিডনির রোগে সহজেই আক্রান্ত হবেন দয়া করে কেউ এ ধরনের খাবার খাবেন না,2
প্রেসার থাকবে খুব কারণ ঐ সময় পূজার ছুটি,1
এ সব বদমাশ দের বিচার করা হবে না এটা সবাই জানে,2
তখনকার আমলে সুপারস্টার আশরাফুলকে ম্যাচ পাতানো মামলায় যার ভূমিকা সেই আজকে পুলিশের খাঁচায় ,2
"এখানে আমিও রেগুলার খাই , ছোটবেলা থেকেই । কিন্তু দুঃখজনক একবার আমিও গন্ধযুক্ত বট পেয়েছিলাম , সম্ভবত পাঠার ছিলো । পরে শুনলাম ঐদিন গরুর বট পায় না দেখে পাঠার বট প্রিপেয়ার করেছিলো , কিন্তু কাস্টমারকে অর্ডারের আগে জানায় নাই ",0
যারা ১০ টাকা চাঁদাবাজি করে তাদের পেছনে প্রশাসন দৌড়ায় । আর লক্ষ লক্ষ টাকা চাঁদাবাজি করে তাদের পেছনে কেউ দৌড়ায় না,2
ভাই আপনার উপস্থাপনা অনেক ভালো আর ফেইক লাগে নাই খুব নিখুঁত লাগছে : ) বেস্ট অফ লাক ভাই : ),1
তোগো বিচারের মায়ের চুদি এই লোক কেমন করে চিনা পুলিয়ে কথা বলে দেশে বিচার নাই এই লোক দের বিচার করবে কে শেক হাছিনা দেখে না,2
"বাল , এতো প্যাক প্যাক করার কি আছে , বেশি পন্ডিতগিরির কারনেই সাভস্ক্রাইবার না বেড়ে আরো কমে , মার্ক উইন্স কে দেখে শিখ কিভাবে খাবার রিভিউ করতে হয় ",2
পশু তো মন হয় এত খারাপ হয় না ? আজের সমাজ ব্যবসহা এতো খারাপে দিকে এই সময় থাকতো আবু জাহেল লজ্জা পেত,2
একটা কুকুরকেও কেউ এভাবে মারেনা । আহারে একটু দয়া হলো না । আমার শুনতেই চোখে জল আসলো । কপাল পোড়া,2
"বগুড়ার এশিয়ার মিষ্টি , দই এর ভিডিও চাই বস সব থেকে সেরা দই বগুড়ার এশিয়ার দই ",1
যদি পারেন একবার বরিশালে গৌরনদী তে আসবেন এখানের দই খেয়ে যাবেন ভাইয়া,1
খাই দাই ডটকম এর খালেক সাইফুল্লাহ ভাই থাকলে আরো ভাল লাগতো,1
সুশিক্ষাই জাতির মেরুদন্ড,1
